"","Country","population_million","HDI_2018","log_pop_density","ages_65_up","BCG_policy","BCG_mean_coverage","urban_fraction","lat","long","Days_since_first_death","max_log_deaths_million","BCG_index","range_age_BCG","ISO3"
"14","Bangladesh",161.356,0.614,7.12286665859908,0.05,"current",0.7731578947,0.36632,24,90,243,3.64772325648548,31.6994736827,41,"BGD"
"15","Barbados",0.2866,0.813,6.50279004591562,0.16,"current",0.7166666667,0.31147,13.1667,-59.5333,225,3.19557791264338,39.0265822802962,54.4556962025316,"BRB"
"16","Belarus",9.4835,0.817,3.85014760171006,0.15,"current",0.9662857143,0.78595,53,28,230,4.70317519818263,67.640000001,70,"BLR"
"17","Belgium",11.4333,0.919,5.93224518744801,0.19,"never",0.859416036701598,0.98001,50.8333,4,250,7.13991060651443,0,0,"BEL"
"18","Belize",0.3831,0.72,2.83321334405622,0.05,"current",0.9187179487,0.45724,17.25,-88.75,224,5.4592688976058,50.0294255102203,54.4556962025316,"BLZ"
"19","Benin",11.485,0.52,4.62497281328427,0.03,"current",0.8844117647,0.47312,9.5,2.25,224,1.3201582795525,48.1612583764481,54.4556962025316,"BEN"
"20","Bolivia",11.3531,0.693,2.30258509299405,0.07,"current",0.7246153846,0.69425,-17,-65,232,6.65856890287923,39.4594352474582,54.4556962025316,"BOL"
"21","Bosnia and Herzegovina",3.3239,0.769,4.17438726989564,0.16,"current",0.8607692308,0.48245,44,18,240,6.34266407519671,60.253846156,70,"BIH"
"22","Botswana",2.2541,0.728,1.38629436111989,0.04,"current",0.7635897436,0.69446,-22,24,230,2.48308608579855,41.5818111008506,54.4556962025316,"BWA"
"23","Brazil",209.4693,0.761,3.2188758248682,0.09,"current",0.8930769231,0.86569,-10,-55,244,6.67394826963963,47.3330769243,53,"BRA"
"24","Brunei",0.429,0.845,4.39444915467244,0.05,"current",0.963030303,0.77629,4.5,114.6667,233,1.94491064872223,52.442485614,54.4556962025316,"BRN"
"25","Bulgaria",7.025,0.816,4.17438726989564,0.21,"current",0.98,0.75008,43,25,250,5.71440204348366,67.62,69,"BGR"
"26","Burkina Faso",19.7515,0.434,4.27666611901606,0.02,"current",0.8071875,0.29358,13,-2,243,1.23627826734589,43.955957278481,54.4556962025316,"BFA"
"27","Burma",53.7084,0.584,4.40671924726425,0.06,"current",0.6963414634,0.30579,22,98,230,3.37971017310026,37.9197591841367,54.4556962025316,"MMR"
"28","Burundi",11.1754,0.423,6.07534603108868,0.02,"current",0.8036842105,0.13032,-3.5,30,217,-2.41371493404248,43.7651832097595,54.4556962025316,"BDI"
